Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
 # , Thành phần , Trường dữ liệu , Kiểu , Ví dụ , Bắt buộc , Ghi chú ,
 1 , BOOK METADATA , format_type , Enum , fixed-layout , true ," Bắt buộc đối với sách ít chữ (sách ảnh, truyện tranh). Định dạng này giữ nguyên bố cục trang thay vì tự động dàn trang (reflow). ",
 2 , BOOK METADATA , book_title , String , Chú thỏ và mặt trăng , true , Tiêu đề khai báo trên KDP phải khớp chính xác 100% với văn bản hiển thị trên ảnh bìa sách. ,
 3 , BOOK METADATA , primary_audience , Enum , children / comics , true , Bắt buộc phân loại đúng để kích hoạt các tính năng đọc đặc thù trên Fire Tablets và Kindle Apps. ,
 4 , BOOK STRUCTURE , text_pop_ups , Bool , true , false , Tính năng phóng to vùng văn bản (Region Magnification). Rất quan trọng cho sách thiếu nhi để dễ đọc trên màn hình nhỏ. ,
 5 , BOOK STRUCTURE , panel_view , Bool , true , false , Tính năng phóng to từng khung tranh (Kindle Panel View). Thiết kế chuyên biệt và cần thiết nếu xuất bản truyện tranh/Manga. ,
 6 , BOOK STRUCTURE , orientation_lock , Enum , landscape / portrait , true , Khóa hướng xoay màn hình mặc định để bảo toàn bố cục tranh vẽ không bị lệch hoặc cắt xén. ,
 7 , CHAPTER DATA , image_resolution , String , 300 ppi / 1920x1200 , true ," Sách ít chữ phụ thuộc vào ảnh, yêu cầu ảnh chất lượng cực cao (HD) để tránh vỡ hạt khi kích hoạt pop-up. ",
 8 , CHAPTER DATA , color_profile , Enum , sRGB , true , Thiết bị Kindle và ứng dụng đọc mặc định sử dụng hệ màu sRGB. Tuyệt đối không dùng hệ màu in ấn CMYK. ,
 9 , CHAPTER DATA , text_embedded , Bool , true , true ," Ở định dạng này, văn bản thường được thiết kế thành một khối thống nhất (nhúng trực tiếp) vào file ảnh trang sách. ",
 10 , SECTION & SUBSECTION , aspect_ratio , String , 16:9 / 4:3 / 1:1 , true , Tỷ lệ khung hình của toàn bộ các trang ảnh trong sách bắt buộc phải đồng nhất với nhau. ,
 11 , SECTION & SUBSECTION , region_mag_id , String , #mag_region_1 , false ," Bắt buộc khai báo nếu sử dụng text_pop_ups, giúp mã nguồn HTML/CSS nhận diện vùng cần phóng to khi người đọc chạm vào. ",
 12 , TOC (TABLE OF CONTENTS), ncx_toc_required , Bool , true , true , Sách ảnh dù ngắn vẫn bắt buộc phải có mục lục logic (NCX) ẩn để hệ thống điều hướng của Kindle hoạt động đúng. ,
 13 , TOC (TABLE OF CONTENTS), html_toc_include , Bool , false , false ," Đối với sách thiếu nhi/ít chữ, trang mục lục hiển thị (HTML TOC) thường được bỏ qua để người đọc đi thẳng vào nội dung hình ảnh. ",
 14 , CROSS-REFERENCES & LINKS, hyperlinks_active , Bool , false , false , KDP thường vô hiệu hóa hoặc không khuyến khích chèn link liên kết ngoài trong các sách tranh Fixed-Layout dành cho trẻ em. ,
 15 , CROSS-REFERENCES & LINKS, dictionary_lookup , Bool , false , false ," Do chữ được nhúng vào ảnh, tính năng tra từ điển (Dictionary) và X-Ray của Kindle sẽ không thể hoạt động trên thể loại này. ",
 16 , PAGINATION , synthetic_spreads , Enum , auto / none / landscape , true , Quyết định cách cuốn sách hiển thị trang đôi (hai trang mở cạnh nhau) khi người dùng cầm ngang máy tính bảng. ,
 17 , PAGINATION , page_progression , Enum , ltr / rtl , true ," Hướng lật trang: 'ltr' (trái sang phải) cho sách ảnh thông thường, 'rtl' (phải sang trái) nếu là truyện Manga. ",
 18 , PAGINATION , reflow_disabled , Bool , true , true , Tính năng cho phép người đọc tự đổi font chữ và cỡ chữ mặc định bị vô hiệu hóa hoàn toàn ở sách ít chữ. ,
,,,,,,,
