Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
 Phần tử , Thuộc tính , Kiểu dữ liệu , Ví dụ / Mặc định , Đơn vị , Bắt buộc , Ghi chú ,
 Font code/mono , font_mono_family , String , Courier New , - , Không , Thường không dùng đến trong sách ít chữ/truyện tranh. ,
 Font license , font_license_type , Enum , OFL / Commercial , - , Có , Bắt buộc phải có bản quyền thương mại hoặc dùng font mã nguồn mở khi xuất bản KDP. ,
 Font embed , font_embed_in_pdf , Bool , true , - , Có , Rất quan trọng với Fixed Layout: phải nhúng font để giữ đúng thiết kế nghệ thuật trên mọi thiết bị Kindle. ,
 Body text , body_font_size , Float , 16 , pt , Có , Sách ít chữ nên dùng cỡ chữ lớn (14pt - 18pt) để tối ưu hiển thị đọc lướt hoặc cho trẻ em. ,
 Body text , body_line_height , Float , 1.5 , em , Có ," Khoảng cách dòng rộng (1.3 - 1.5) giúp không gian thoáng, dễ đọc trên màn hình điện tử. ",
 Body text , body_align , Enum , left , - , Có , Nên căn trái (left) thay vì căn đều (justified) để tránh các khoảng trắng lỗi (rivers of white) khi ít chữ. ,
 Body text , body_hyphenation , Bool , false , - , Có ," Tắt ngắt từ ở cuối dòng (false) để tránh làm đứt đoạn câu từ trong các câu ngắn, phù hợp với sách ít chữ. ",
 Body text , body_indent_first , Float , 0 , inch , Có , Sách ít chữ thường không thụt lề đầu dòng mà ưu tiên cách đoạn (Space after). ,
 Body text , body_space_after_para , Float , 12 , pt , Có , Khoảng cách sau mỗi đoạn rõ ràng để tách biệt các cụm ý/câu hội thoại. ,
 Body text , body_color , Hex , #000000 , - , Có ," Amazon KDP App (iOS/Android) hỗ trợ màu, nhưng thiết bị E-reader chỉ hiển thị thang độ xám. Hãy đảm bảo độ tương phản cao. ",
 Body text , body_tracking , Float , 0 , em , Không ," Giữ mặc định để dễ đọc, không ép chữ quá sát nhau. ",
 Chapter Title (H1) , h1_font_size , Float , 32 , pt , Có ," Kích thước lớn, tạo điểm nhấn mạnh mẽ cho trang mở đầu. ",
 Chapter Title (H1) , h1_line_height , Float , 1.2 , em , Có , Khoảng cách dòng hẹp hơn so với body text để cụm tiêu đề gắn kết. ,
 Chapter Title (H1) , h1_space_before , Float , 36 , pt , Có , Đẩy tiêu đề xuống một khoảng so với viền trên màn hình. ,
 Chapter Title (H1) , h1_space_after , Float , 24 , pt , Có , Khoảng trống lớn ngăn cách với hình ảnh hoặc nội dung chữ bên dưới. ,
 Section Head (H2) , h2_font_size , Float , 24 , pt , Có , Dành cho các phân mục nhỏ nếu có. ,
 Section Head (H2) , h2_space_before , Float , 18 , pt , Có , Tạo khoảng cách phân tầng nội dung. ,
 Sub-section (H3) , h3_font_size , Float , 18 , pt , Có ," Ít gặp trong sách ít chữ, thiết lập lớn hơn Body text một chút. ",
 Sub-section (H3) , h3_space_before , Float , 14 , pt , Có , Không gian phía trước H3. ,
 Drop cap , dropcap_enabled , Bool , true , - , Không , Chữ cái đầu to (Drop cap) rất phù hợp để trang trí cho truyện ngắn hoặc sách thiếu nhi. ,
 Drop cap , dropcap_lines , Int , 2 , - , Không , Thường chỉ nên chiếm 2 dòng để không chiếm quá nhiều diện tích trang. ,
 Footnote , footnote_font_size , Float , 10 , pt , Không , Sách ít chữ nên hạn chế tối đa chú thích chân trang. ,
 Footnote , footnote_separator , Bool , true , - , Không , Kẻ đường phân cách nếu có dùng chú thích. ,
 Caption , caption_font_size , Float , 12 , pt , Không , Kích thước phụ đề ảnh phải nhỏ hơn Body text để phân biệt. ,
 Caption , caption_align , Enum , center , - , Không , Phụ đề nên căn giữa ngay dưới hình minh họa. ,
 Pull quote , pullquote_font_size , Float , 20 , pt , Không ," Cỡ chữ to hơn Body text, in nghiêng hoặc đổi font để làm nổi bật các câu trích dẫn/câu nói quan trọng. ",
 Running head , runninghead_font_size , Float , 0 , pt , Không , Bỏ qua. KDP tự động xóa bỏ Running head (tiêu đề đầu trang) trên các thiết bị E-reader tiêu chuẩn. ,
 Folio (page number), folio_font_size , Float , 0 , pt , Không , Bỏ qua. Kindle tự động tính toán số trang (Location/Page) tùy thuộc vào kích cỡ màn hình thiết bị của người dùng. ,
 Widow lines , widow_control , Int , 2 , - , Có , Bắt buộc thiết lập 2 để tránh 1 dòng văn bản mồ côi nằm trơ trọi ở cuối trang (rất quan trọng cho tính thẩm mỹ). ,
 Orphan lines , orphan_control , Int , 2 , - , Có , Bắt buộc thiết lập 2 để tránh 1 dòng mồ côi ở đầu trang. ,
 Optical margin align , optical_margin , Bool , true , - , Không ," Bật để các dấu câu (ngoặc kép, phẩy) được đẩy nhẹ ra ngoài lề, giúp căn lề chữ thẳng nếp hơn. ",
 Language/locale , hyphenation_language , String , en-US / vi-VN , - , Có , Phải khai báo chuẩn mã ngôn ngữ để KDP từ điển hóa và định dạng font hệ thống chuẩn xác. ,
 Smart quotes , smart_quotes_enabled , Bool , true , - , Có , KDP yêu cầu dấu ngoặc kép phải ở dạng cong (curly quotes) thay vì ngoặc thẳng (straight quotes) của dân kỹ thuật. ,
