Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
 # , Loại (Thành phần) , Trường dữ liệu , Kiểu , Ví dụ / Mặc định , Đơn vị , Bắt buộc , Ghi chú (Dành cho eBook Fixed Layout trên KDP) ,
---,---,---,---,---,---,---,---,
 1 , Image , img_resolution_interior , Int , 300 , DPI , [x] , KDP khuyến nghị tối thiểu 300 DPI (hoặc ppi) để ảnh hiển thị sắc nét trên các thiết bị màn hình HD (như Kindle Fire). ,
 2 , Image , img_resolution_cover , Int , 300 , DPI , [x] , Ảnh bìa eBook cũng cần chất lượng cao (Amazon khuyến nghị kích thước lý tưởng là 2560 x 1600 pixels). ,
 3 , Image , img_color_mode , Enum , RGB , - , [x] , Bắt buộc dùng hệ màu RGB cho eBook. Tuyệt đối KHÔNG dùng CMYK (CMYK chỉ dành cho sách in bản cứng). ,
 4 , Image , img_file_format , Enum , JPEG / PNG , - , [x] , Định dạng tốt nhất khi làm eBook KDP là JPEG (nếu có ảnh chụp) hoặc PNG (nếu có mảng màu bệt/chữ). Không dùng TIFF cho file eBook cuối cùng. ,
 5 , Image , img_embed_type , Enum , embedded , - , [x] ," Mọi hình ảnh phải được nhúng trực tiếp vào file EPUB/MOBI, không dùng link liên kết ngoài (linked). ",
 6 , Image , img_max_file_size , Float , 5 , MB , [ ] ," Tổng file eBook KDP tối đa 650MB. Nên nén từng ảnh dưới 5MB để độc giả tải sách nhanh gọn, tránh phí ""Delivery Cost"" cao của Amazon. ",
 7 , Image , img_icc_profile , String , sRGB , - , [x] , Bắt buộc dùng profile màu sRGB để màu sắc nhất quán trên các thiết bị. (Bỏ Coated FOGRA39 vì đó là hệ in ấn). ,
 8 , Layout , img_placement_type , Enum , full-page / spread , - , [x] ," Với sách tranh ít chữ, hình ảnh thường đặt tràn viền toàn bộ trang (full-page) hoặc trang đôi (spread). ",
 9 , Layout , img_align , Enum , center , - , [x] , Căn giữa hoặc cho phép ảnh bung kín màn hình thiết bị đọc. ,
 10 , Layout , img_max_width , Float , 100 , % , [x] , Đặt 100% để hình ảnh co giãn lấp đầy không gian hiển thị của thiết bị. ,
 11 , Layout , img_wrap_text , Bool , false , - , [x] , Fixed Layout (Định dạng cố định) không hỗ trợ chữ bọc quanh ảnh. Vị trí chữ và ảnh bị khóa cứng. ,
 12 , Layout , img_space_before , Float , 0 , pt , [x] , Không cần khoảng trắng nếu là ảnh tràn viền. ,
 13 , Layout , img_space_after , Float , 0 , pt , [x] , Không cần khoảng trắng nếu là ảnh tràn viền. ,
 14 , Caption , caption_position , Enum , - , - , [ ] ," Sách tranh/ít chữ thường không dùng caption rời. Chữ được nhúng thẳng vào ảnh hoặc dùng ""Text Pop-Ups"" (Khung chữ nổi). ",
 15 , Caption , caption_prefix , String , - , - , [ ] , Không áp dụng cho thể loại này. ,
 16 , Caption , caption_numbering , Enum , - , - , [ ] , Không áp dụng cho thể loại này. ,
 17 , Caption , caption_max_length , Int , - , ký tự , [ ] ," Nếu dùng Text Pop-ups, độ dài text cần ngắn gọn để không bị tràn khi phóng to trên điện thoại. ",
 18 , LoF , list_of_figures_enabled , Bool , false , - , [x] , Sách Fixed Layout không hỗ trợ và cũng không cần làm Danh mục hình ảnh động. ,
 19 , LoF , list_of_tables_enabled , Bool , false , - , [x] , Không áp dụng cho sách tranh/truyện tranh. ,
 20 , Vector , vector_format , Enum , JPEG / PNG , - , [x] , Thiết bị đọc sách điện tử không xử lý trực tiếp đồ họa Vector (EPS/AI). Bạn phải rasterize (xuất thành ảnh JPEG/PNG) trước khi tải lên. ,
 21 , Vector , svg_fonts_converted , Bool , true , - , [x] , Mọi text trên ảnh phải được convert thành hình ảnh (outline/paths) để không bị lỗi font khi lên máy đọc sách. ,
 22 , QR/Bar , barcode_format , Enum , - , - , [x] , Bỏ qua hoàn toàn. eBook KDP KHÔNG YÊU CẦU MÃ VẠCH (Barcode) trên bìa hay ruột sách. ISBN sẽ được quản lý qua siêu dữ liệu số (metadata). ,
 23 , QR/Bar , barcode_placement , Enum , - , - , [x] , Bỏ qua (không cần mã vạch cho eBook). ,
 24 , Alt text , img_alt_text , String , - , - , [x] , Dựa trên tài liệu KDP: Fixed Layout KHÔNG hỗ trợ trình đọc màn hình (Screen readers). Do đó việc thêm Alt text cho ảnh là không bắt buộc và không hoạt động. ,
 25 , Alt text , img_decorative , Bool , true , - , [x] , Có thể bỏ qua tính năng khả năng truy cập (accessibility) đối với file Fixed Layout trên hệ thống KDP. ,
